"CHS_CT 시군구별(1)",CHS_CT 시군구별(2),Y2020 2020,Y2021 2021,Y2022 2022
"001 서울특별시",소계,45.5,47.9,43.4
"001 서울특별시",00101 강남구,46.5,46.7,47.9
"001 서울특별시",00102 강동구,46.2,51.4,43.6
"001 서울특별시",00103 강북구,47.0,47.8,47.8
"001 서울특별시",00104 강서구,49.1,45.4,44.0
"001 서울특별시",00105 관악구,40.9,46.6,41.2
"001 서울특별시",00106 광진구,44.4,46.8,46.5
"001 서울특별시",00107 구로구,44.4,40.2,36.1
"001 서울특별시",00108 금천구,43.1,47.6,41.8
"001 서울특별시",00109 노원구,48.3,49.2,40.3
"001 서울특별시",00110 도봉구,46.1,50.6,44.8
"001 서울특별시",00111 동대문구,42.0,48.5,43.2
"001 서울특별시",00112 동작구,44.5,48.8,43.9
"001 서울특별시",00113 마포구,40.5,52.3,44.2
"001 서울특별시",00114 서대문구,44.8,45.5,39.3
"001 서울특별시",00115 서초구,47.7,48.9,46.9
"001 서울특별시",00116 성동구,46.2,49.7,42.1
"001 서울특별시",00117 성북구,48.2,43.3,43.2
"001 서울특별시",00118 송파구,45.1,50.2,43.8
"001 서울특별시",00119 양천구,47.1,45.8,42.6
"001 서울특별시",00120 영등포구,41.9,49.2,42.7
"001 서울특별시",00121 용산구,38.9,46.8,41.5
"001 서울특별시",00122 은평구,49.7,49.8,42.6
"001 서울특별시",00123 종로구,37.8,40.3,42.5
"001 서울특별시",00124 중구,44.6,50.9,48.1
"001 서울특별시",00125 중랑구,49.2,52.8,43.6
"002 부산광역시",소계,40.3,43.6,38.4
"002 부산광역시",00201 강서구,46.0,55.5,40.2
"002 부산광역시",00202 금정구,39.1,41.3,40.3
"002 부산광역시",00203 기장군,40.7,40.5,36.5
"002 부산광역시",00204 남구,41.3,41.8,37.3
"002 부산광역시",00205 동구,37.0,41.3,36.4
"002 부산광역시",00206 동래구,40.6,45.4,37.8
"002 부산광역시",00207 부산진구,38.4,41.3,37.2
"002 부산광역시",00208 북구,37.8,42.0,42.0
"002 부산광역시",00209 사상구,38.9,44.2,36.8
"002 부산광역시",00210 사하구,43.5,48.0,42.2
"002 부산광역시",00211 서구,41.4,44.4,39.0
"002 부산광역시",00212 수영구,41.3,39.0,36.6
"002 부산광역시",00213 연제구,37.7,38.4,39.1
"002 부산광역시",00214 영도구,45.9,45.3,39.0
"002 부산광역시",00215 중구,33.0,37.7,42.0
"002 부산광역시",00216 해운대구,41.4,46.3,35.0
"003 대구광역시",소계,44.7,43.6,36.4
"003 대구광역시",00301 남구,38.0,43.2,33.5
"003 대구광역시",00302 달서구,45.6,43.9,37.3
"003 대구광역시",00303 달성군,51.3,41.9,38.2
"003 대구광역시",00304 동구,47.6,42.7,37.8
"003 대구광역시",00305 북구,41.0,45.5,36.2
"003 대구광역시",00306 서구,45.2,38.0,41.8
"003 대구광역시",00307 수성구,42.6,44.1,30.2
"003 대구광역시",00308 중구,47.0,45.4,42.5
"004 인천광역시",소계,48.4,47.3,43.0
"004 인천광역시",00401 강화군,41.8,43.6,48.3
"004 인천광역시",00402 계양구,47.4,48.3,38.7
"004 인천광역시",00403 미추홀구,43.4,49.3,44.9
"004 인천광역시",00404 남동구,52.2,47.0,38.4
"004 인천광역시",00405 동구,51.2,50.5,48.4
"004 인천광역시",00406 부평구,44.7,46.6,41.7
"004 인천광역시",00407 서구,48.1,46.6,43.8
"004 인천광역시",00408 연수구,55.3,46.0,48.6
"004 인천광역시",00409 옹진군,55.2,55.3,50.2
"004 인천광역시",00410 중구,44.6,45.8,41.0
"005 광주광역시",소계,44.6,46.4,42.3
"005 광주광역시",00501 광산구,45.2,49.2,39.1
"005 광주광역시",00502 남구,47.1,49.9,45.4
"005 광주광역시",00503 동구,44.5,45.0,45.3
"005 광주광역시",00504 북구,41.8,41.2,39.7
"005 광주광역시",00505 서구,46.6,48.1,47.5
"006 대전광역시",소계,41.0,46.4,38.9
"006 대전광역시",00601 대덕구,45.3,51.5,44.2
"006 대전광역시",00602 동구,41.3,47.1,41.1
"006 대전광역시",00603 서구,38.9,44.5,28.7
"006 대전광역시",00604 유성구,42.6,47.9,44.1
"006 대전광역시",00605 중구,38.5,43.7,46.9
"007 울산광역시",소계,44.6,48.2,44.3
"007 울산광역시",00701 남구,41.3,43.7,44.1
"007 울산광역시",00702 동구,48.2,55.4,44.6
"007 울산광역시",00703 북구,52.9,52.1,45.9
"007 울산광역시",00704 울주군,37.8,50.4,41.8
"007 울산광역시",00705 중구,45.1,43.0,45.3
"0071 세종특별자치시",소계,47.8,48.0,49.3
"0071 세종특별자치시",00711 세종시,47.8,48.0,49.3
"008 경기도",소계,47.0,48.5,43.2
"008 경기도",00801 가평군,47.8,55.0,45.9
"008 경기도",00802 고양시,44.6,46.6,42.4
"008 경기도",00803 과천시,43.0,47.1,40.0
"008 경기도",00804 구리시,45.1,49.4,47.7
"008 경기도",00805 김포시,51.9,51.4,44.7
"008 경기도",00806 남양주시,44.3,46.9,42.5
"008 경기도",00807 동두천시,51.3,54.9,45.2
"008 경기도",00808 부천시,45.2,44.8,44.9
"008 경기도",00809 양주시,42.8,53.9,44.9
"008 경기도",00810 양평군,44.7,39.9,46.7
"008 경기도",00811 여주시,48.9,55.2,51.7
"008 경기도",00812 연천군,50.6,53.8,48.0
"008 경기도",00813 의정부시,46.5,53.9,44.8
"008 경기도",00814 이천시,49.5,56.1,47.6
"008 경기도",00815 파주시,52.6,46.9,34.2
"008 경기도",00816 포천시,55.7,50.0,45.0
"008 경기도",00817 하남시,50.4,50.6,43.5
"008 경기도",00818 광명시,49.0,49.4,47.4
"008 경기도",00819 광주시,47.1,48.0,43.3
"008 경기도",00820 군포시,45.5,47.9,43.5
"008 경기도",00821 성남시,47.6,46.8,46.2
"008 경기도",00822 수원시,48.7,50.0,43.4
"008 경기도",00823 시흥시,42.0,49.5,43.8
"008 경기도",00824 안산시,43.7,44.8,39.9
"008 경기도",00825 안성시,44.2,47.8,42.9
